Lon,Lat,mask
168.5,5.5,8318
169.5,5.5,8318
170.5,5.5,8318
171.5,5.5,8318
172.5,5.5,8318
173.5,5.5,8318
174.5,5.5,8318
175.5,5.5,8488
-162.5,4.5,8441
-161.5,4.5,8441
-160.5,4.5,8441
-159.5,4.5,8441
-158.5,4.5,8441
-157.5,4.5,8441
-156.5,4.5,8441
-155.5,4.5,8441
-154.5,4.5,8441
129.5,4.5,8315
130.5,4.5,8315
131.5,4.5,8315
132.5,4.5,8315
133.5,4.5,8315
134.5,4.5,8315
135.5,4.5,8315
136.5,4.5,8316
137.5,4.5,8316
138.5,4.5,8316
139.5,4.5,8316
140.5,4.5,8316
141.5,4.5,8316
142.5,4.5,8316
143.5,4.5,8316
144.5,4.5,8316
145.5,4.5,8316
146.5,4.5,8316
147.5,4.5,8316
148.5,4.5,8316
149.5,4.5,8316
150.5,4.5,8316
151.5,4.5,8316
152.5,4.5,8316
153.5,4.5,8316
154.5,4.5,8316
155.5,4.5,8316
156.5,4.5,8316
157.5,4.5,8316
158.5,4.5,8316
159.5,4.5,8316
160.5,4.5,8316
161.5,4.5,8316
162.5,4.5,8316
163.5,4.5,8316
164.5,4.5,8316
165.5,4.5,8316
166.5,4.5,8318
167.5,4.5,8318
168.5,4.5,8318
169.5,4.5,8318
170.5,4.5,8318
171.5,4.5,8318
172.5,4.5,8488
173.5,4.5,8488
174.5,4.5,8488
175.5,4.5,8488
176.5,4.5,8488
-162.5,3.5,8441
-161.5,3.5,8441
-160.5,3.5,8441
-159.5,3.5,8441
-158.5,3.5,8441
-157.5,3.5,8441
-156.5,3.5,8441
-155.5,3.5,8441
-154.5,3.5,8441
129.5,3.5,8315
130.5,3.5,8315
131.5,3.5,8315
132.5,3.5,8315
133.5,3.5,8315
134.5,3.5,8315
135.5,3.5,8315
140.5,3.5,8316
141.5,3.5,8316
142.5,3.5,8316
143.5,3.5,8316
144.5,3.5,8316
145.5,3.5,8316
147.5,3.5,8316
148.5,3.5,8316
149.5,3.5,8316
150.5,3.5,8316
151.5,3.5,8316
152.5,3.5,8316
153.5,3.5,8316
154.5,3.5,8316
155.5,3.5,8316
156.5,3.5,8316
157.5,3.5,8316
158.5,3.5,8316
159.5,3.5,8316
160.5,3.5,8316
161.5,3.5,8316
162.5,3.5,8316
163.5,3.5,8316
164.5,3.5,8316
165.5,3.5,8316
166.5,3.5,8318
167.5,3.5,8318
168.5,3.5,8318
169.5,3.5,8318
170.5,3.5,8318
171.5,3.5,8488
172.5,3.5,8488
173.5,3.5,8488
174.5,3.5,8488
175.5,3.5,8488
176.5,3.5,8488
-163.5,2.5,8441
-162.5,2.5,8441
-161.5,2.5,8441
-160.5,2.5,8441
-159.5,2.5,8441
-158.5,2.5,8441
-157.5,2.5,8441
-156.5,2.5,8441
-155.5,2.5,8441
-154.5,2.5,8441
-153.5,2.5,8441
129.5,2.5,8315
130.5,2.5,8315
131.5,2.5,8315
132.5,2.5,8315
133.5,2.5,8315
143.5,2.5,8324
144.5,2.5,8324
145.5,2.5,8324
146.5,2.5,8324
147.5,2.5,8324
149.5,2.5,8324
150.5,2.5,8324
151.5,2.5,8316
152.5,2.5,8316
153.5,2.5,8316
154.5,2.5,8316
155.5,2.5,8316
156.5,2.5,8316
157.5,2.5,8316
158.5,2.5,8316
159.5,2.5,8316
160.5,2.5,8316
161.5,2.5,8316
162.5,2.5,8316
163.5,2.5,8316
164.5,2.5,8316
165.5,2.5,8317
166.5,2.5,8318
167.5,2.5,8318
168.5,2.5,8318
169.5,2.5,8318
170.5,2.5,8488
171.5,2.5,8488
172.5,2.5,8488
173.5,2.5,8488
174.5,2.5,8488
175.5,2.5,8488
176.5,2.5,8488
-162.5,1.5,8441
-161.5,1.5,8441
-160.5,1.5,8441
-159.5,1.5,8441
-158.5,1.5,8441
-157.5,1.5,8441
-156.5,1.5,8441
-155.5,1.5,8441
-154.5,1.5,8441
-153.5,1.5,8441
130.5,1.5,8315
131.5,1.5,8315
132.5,1.5,8315
133.5,1.5,8315
140.5,1.5,8324
141.5,1.5,8324
142.5,1.5,8324
143.5,1.5,8324
144.5,1.5,8324
145.5,1.5,8324
146.5,1.5,8324
147.5,1.5,8324
148.5,1.5,8324
149.5,1.5,8324
150.5,1.5,8324
151.5,1.5,8324
152.5,1.5,8316
153.5,1.5,8316
154.5,1.5,8316
155.5,1.5,8316
156.5,1.5,8316
157.5,1.5,8316
158.5,1.5,8316
162.5,1.5,8316
163.5,1.5,8317
164.5,1.5,8317
165.5,1.5,8317
166.5,1.5,8317
167.5,1.5,8317
168.5,1.5,8317
169.5,1.5,8488
170.5,1.5,8488
171.5,1.5,8488
172.5,1.5,8488
173.5,1.5,8488
174.5,1.5,8488
175.5,1.5,8488
176.5,1.5,8488
177.5,1.5,8488
178.5,1.5,8488
-173.5,0.5,8450
-172.5,0.5,8450
-171.5,0.5,8450
-170.5,0.5,8450
-169.5,0.5,8450
-159.5,0.5,8441
-158.5,0.5,8441
-157.5,0.5,8441
-156.5,0.5,8441
-155.5,0.5,8441
-154.5,0.5,8441
-153.5,0.5,8441
140.5,0.5,8324
141.5,0.5,8324
142.5,0.5,8324
143.5,0.5,8324
144.5,0.5,8324
145.5,0.5,8324
146.5,0.5,8324
147.5,0.5,8324
148.5,0.5,8324
149.5,0.5,8324
150.5,0.5,8324
151.5,0.5,8324
152.5,0.5,8316
153.5,0.5,8316
154.5,0.5,8316
155.5,0.5,8316
156.5,0.5,8316
157.5,0.5,8316
158.5,0.5,8316
163.5,0.5,8317
164.5,0.5,8317
165.5,0.5,8317
166.5,0.5,8317
167.5,0.5,8317
168.5,0.5,8488
169.5,0.5,8488
170.5,0.5,8488
171.5,0.5,8488
172.5,0.5,8488
173.5,0.5,8488
174.5,0.5,8488
175.5,0.5,8488
176.5,0.5,8488
177.5,0.5,8488
178.5,0.5,8488
179.5,0.5,8488
-174.5,-0.5,8450
-173.5,-0.5,8450
-172.5,-0.5,8450
-171.5,-0.5,8450
-170.5,-0.5,8450
-169.5,-0.5,8450
-168.5,-0.5,8450
-158.5,-0.5,8441
-157.5,-0.5,8441
-156.5,-0.5,8441
-155.5,-0.5,8441
-154.5,-0.5,8441
-153.5,-0.5,8441
141.5,-0.5,8324
142.5,-0.5,8324
143.5,-0.5,8324
144.5,-0.5,8324
145.5,-0.5,8324
146.5,-0.5,8324
147.5,-0.5,8324
148.5,-0.5,8324
149.5,-0.5,8324
150.5,-0.5,8324
151.5,-0.5,8324
152.5,-0.5,8324
153.5,-0.5,8316
154.5,-0.5,8316
155.5,-0.5,8316
156.5,-0.5,8316
157.5,-0.5,8316
163.5,-0.5,8317
164.5,-0.5,8317
165.5,-0.5,8317
166.5,-0.5,8317
167.5,-0.5,8317
168.5,-0.5,8488
169.5,-0.5,8488
170.5,-0.5,8488
171.5,-0.5,8488
172.5,-0.5,8488
173.5,-0.5,8488
174.5,-0.5,8488
175.5,-0.5,8488
176.5,-0.5,8488
177.5,-0.5,8488
178.5,-0.5,8488
179.5,-0.5,8488
-179.5,-1.5,8488
-175.5,-1.5,8450
-174.5,-1.5,8450
-173.5,-1.5,8450
-172.5,-1.5,8450
-171.5,-1.5,8450
-170.5,-1.5,8450
-169.5,-1.5,8450
-168.5,-1.5,8450
-167.5,-1.5,8450
-157.5,-1.5,8441
-156.5,-1.5,8441
-155.5,-1.5,8441
-154.5,-1.5,8441
-153.5,-1.5,8441
-152.5,-1.5,8441
141.5,-1.5,8324
142.5,-1.5,8324
143.5,-1.5,8324
144.5,-1.5,8324
145.5,-1.5,8324
146.5,-1.5,8324
147.5,-1.5,8324
148.5,-1.5,8324
149.5,-1.5,8324
150.5,-1.5,8324
151.5,-1.5,8324
152.5,-1.5,8324
153.5,-1.5,8324
154.5,-1.5,8324
155.5,-1.5,8324
156.5,-1.5,8324
157.5,-1.5,8324
158.5,-1.5,8324
159.5,-1.5,8324
160.5,-1.5,8324
161.5,-1.5,8324
163.5,-1.5,8317
164.5,-1.5,8317
165.5,-1.5,8317
166.5,-1.5,8317
167.5,-1.5,8317
168.5,-1.5,8488
169.5,-1.5,8488
170.5,-1.5,8488
171.5,-1.5,8488
172.5,-1.5,8488
173.5,-1.5,8488
174.5,-1.5,8488
175.5,-1.5,8488
176.5,-1.5,8488
177.5,-1.5,8488
178.5,-1.5,8488
179.5,-1.5,8488
-179.5,-2.5,8488
-177.5,-2.5,8450
-176.5,-2.5,8450
-175.5,-2.5,8450
-174.5,-2.5,8450
-173.5,-2.5,8450
-172.5,-2.5,8450
-171.5,-2.5,8450
-170.5,-2.5,8450
-169.5,-2.5,8450
-168.5,-2.5,8450
-167.5,-2.5,8450
-158.5,-2.5,8441
-157.5,-2.5,8441
-156.5,-2.5,8441
-155.5,-2.5,8441
-154.5,-2.5,8441
-153.5,-2.5,8441
-152.5,-2.5,8441
-151.5,-2.5,8441
141.5,-2.5,8324
142.5,-2.5,8324
143.5,-2.5,8324
144.5,-2.5,8324
145.5,-2.5,8324
146.5,-2.5,8324
147.5,-2.5,8324
148.5,-2.5,8324
149.5,-2.5,8324
150.5,-2.5,8324
151.5,-2.5,8324
152.5,-2.5,8324
153.5,-2.5,8324
154.5,-2.5,8324
155.5,-2.5,8324
156.5,-2.5,8324
157.5,-2.5,8324
158.5,-2.5,8324
159.5,-2.5,8324
160.5,-2.5,8324
161.5,-2.5,8324
162.5,-2.5,8324
163.5,-2.5,8317
164.5,-2.5,8317
165.5,-2.5,8317
166.5,-2.5,8317
167.5,-2.5,8317
168.5,-2.5,8488
169.5,-2.5,8488
170.5,-2.5,8488
171.5,-2.5,8488
172.5,-2.5,8488
173.5,-2.5,8488
174.5,-2.5,8488
175.5,-2.5,8488
176.5,-2.5,8488
177.5,-2.5,8488
178.5,-2.5,8488
179.5,-2.5,8488
-179.5,-3.5,8488
-177.5,-3.5,8450
-176.5,-3.5,8450
-175.5,-3.5,8450
-174.5,-3.5,8450
-173.5,-3.5,8450
-172.5,-3.5,8450
-171.5,-3.5,8450
-170.5,-3.5,8450
-169.5,-3.5,8450
-168.5,-3.5,8450
-167.5,-3.5,8450
-158.5,-3.5,8441
-157.5,-3.5,8441
-156.5,-3.5,8441
-155.5,-3.5,8441
-154.5,-3.5,8441
-153.5,-3.5,8441
-152.5,-3.5,8441
-151.5,-3.5,8441
142.5,-3.5,8324
143.5,-3.5,8324
144.5,-3.5,8324
145.5,-3.5,8324
146.5,-3.5,8324
147.5,-3.5,8324
148.5,-3.5,8324
149.5,-3.5,8324
150.5,-3.5,8324
151.5,-3.5,8324
152.5,-3.5,8324
153.5,-3.5,8324
154.5,-3.5,8324
155.5,-3.5,8324
156.5,-3.5,8324
157.5,-3.5,8324
158.5,-3.5,8324
159.5,-3.5,8324
160.5,-3.5,8324
161.5,-3.5,8324
162.5,-3.5,8324
164.5,-3.5,8317
165.5,-3.5,8317
166.5,-3.5,8317
167.5,-3.5,8317
168.5,-3.5,8488
169.5,-3.5,8488
170.5,-3.5,8488
171.5,-3.5,8488
172.5,-3.5,8488
173.5,-3.5,8488
174.5,-3.5,8488
175.5,-3.5,8488
176.5,-3.5,8488
177.5,-3.5,8488
178.5,-3.5,8488
179.5,-3.5,8488
-179.5,-4.5,8326
-177.5,-4.5,8450
-176.5,-4.5,8450
-175.5,-4.5,8450
-174.5,-4.5,8450
-173.5,-4.5,8450
-172.5,-4.5,8450
-171.5,-4.5,8450
-170.5,-4.5,8450
-169.5,-4.5,8450
-168.5,-4.5,8450
-167.5,-4.5,8450
-159.5,-4.5,8441
-158.5,-4.5,8441
-157.5,-4.5,8441
-156.5,-4.5,8441
-155.5,-4.5,8441
-154.5,-4.5,8441
-153.5,-4.5,8441
-152.5,-4.5,8441
-151.5,-4.5,8441
-142.5,-4.5,8440
-141.5,-4.5,8440
-140.5,-4.5,8440
-139.5,-4.5,8440
-138.5,-4.5,8440
143.5,-4.5,8324
144.5,-4.5,8324
145.5,-4.5,8324
146.5,-4.5,8324
147.5,-4.5,8324
148.5,-4.5,8324
149.5,-4.5,8324
150.5,-4.5,8324
151.5,-4.5,8324
152.5,-4.5,8324
153.5,-4.5,8324
154.5,-4.5,8324
155.5,-4.5,8324
156.5,-4.5,8324
157.5,-4.5,8324
158.5,-4.5,8324
159.5,-4.5,8324
160.5,-4.5,8324
161.5,-4.5,8314
162.5,-4.5,8314
163.5,-4.5,8314
168.5,-4.5,8488
169.5,-4.5,8488
170.5,-4.5,8488
172.5,-4.5,8326
173.5,-4.5,8326
174.5,-4.5,8326
175.5,-4.5,8326
176.5,-4.5,8326
177.5,-4.5,8326
178.5,-4.5,8326
179.5,-4.5,8326
-179.5,-5.5,8326
-178.5,-5.5,8326
-177.5,-5.5,8450
-176.5,-5.5,8450
-175.5,-5.5,8450
-174.5,-5.5,8450
-173.5,-5.5,8450
-172.5,-5.5,8450
-171.5,-5.5,8450
-170.5,-5.5,8450
-169.5,-5.5,8450
-168.5,-5.5,8450
-167.5,-5.5,8450
-159.5,-5.5,8446
-158.5,-5.5,8441
-157.5,-5.5,8441
-156.5,-5.5,8441
-155.5,-5.5,8441
-154.5,-5.5,8441
-153.5,-5.5,8441
-152.5,-5.5,8441
-151.5,-5.5,8441
-143.5,-5.5,8440
-142.5,-5.5,8440
-141.5,-5.5,8440
-140.5,-5.5,8440
-139.5,-5.5,8440
-138.5,-5.5,8440
-137.5,-5.5,8440
145.5,-5.5,8324
146.5,-5.5,8324
147.5,-5.5,8324
148.5,-5.5,8324
149.5,-5.5,8324
150.5,-5.5,8324
151.5,-5.5,8324
152.5,-5.5,8324
153.5,-5.5,8324
154.5,-5.5,8324
155.5,-5.5,8324
156.5,-5.5,8324
157.5,-5.5,8314
158.5,-5.5,8314
159.5,-5.5,8314
160.5,-5.5,8314
161.5,-5.5,8314
162.5,-5.5,8314
163.5,-5.5,8314
164.5,-5.5,8314
165.5,-5.5,8314
172.5,-5.5,8326
173.5,-5.5,8326
174.5,-5.5,8326
175.5,-5.5,8326
176.5,-5.5,8326
177.5,-5.5,8326
178.5,-5.5,8326
179.5,-5.5,8326
-179.5,-6.5,8326
-178.5,-6.5,8326
-177.5,-6.5,8326
-176.5,-6.5,8450
-175.5,-6.5,8450
-174.5,-6.5,8450
-173.5,-6.5,8450
-172.5,-6.5,8450
-171.5,-6.5,8450
-170.5,-6.5,8450
-169.5,-6.5,8450
-168.5,-6.5,8449
-162.5,-6.5,8446
-161.5,-6.5,8446
-160.5,-6.5,8446
-159.5,-6.5,8446
-158.5,-6.5,8446
-157.5,-6.5,8441
-156.5,-6.5,8441
-155.5,-6.5,8441
-154.5,-6.5,8441
-153.5,-6.5,8441
-152.5,-6.5,8441
-151.5,-6.5,8441
-150.5,-6.5,8441
-149.5,-6.5,8441
-148.5,-6.5,8441
-143.5,-6.5,8440
-142.5,-6.5,8440
-141.5,-6.5,8440
-140.5,-6.5,8440
-139.5,-6.5,8440
-138.5,-6.5,8440
-137.5,-6.5,8440
-136.5,-6.5,8440
144.5,-6.5,8324
145.5,-6.5,8324
146.5,-6.5,8324
147.5,-6.5,8324
148.5,-6.5,8324
149.5,-6.5,8324
150.5,-6.5,8324
151.5,-6.5,8324
152.5,-6.5,8324
153.5,-6.5,8324
154.5,-6.5,8324
155.5,-6.5,8324
156.5,-6.5,8314
157.5,-6.5,8314
158.5,-6.5,8314
159.5,-6.5,8314
160.5,-6.5,8314
161.5,-6.5,8314
162.5,-6.5,8314
163.5,-6.5,8314
164.5,-6.5,8314
165.5,-6.5,8314
166.5,-6.5,8314
167.5,-6.5,8314
168.5,-6.5,8314
172.5,-6.5,8326
173.5,-6.5,8326
174.5,-6.5,8326
175.5,-6.5,8326
176.5,-6.5,8326
177.5,-6.5,8326
178.5,-6.5,8326
179.5,-6.5,8326
-179.5,-7.5,8326
-178.5,-7.5,8326
-177.5,-7.5,8326
-176.5,-7.5,8450
-175.5,-7.5,8450
-174.5,-7.5,8449
-173.5,-7.5,8449
-172.5,-7.5,8449
-171.5,-7.5,8449
-170.5,-7.5,8449
-169.5,-7.5,8449
-168.5,-7.5,8449
-167.5,-7.5,8446
-166.5,-7.5,8446
-165.5,-7.5,8446
-164.5,-7.5,8446
-163.5,-7.5,8446
-162.5,-7.5,8446
-161.5,-7.5,8446
-160.5,-7.5,8446
-159.5,-7.5,8446
-158.5,-7.5,8446
-157.5,-7.5,8446
-156.5,-7.5,8441
-155.5,-7.5,8441
-154.5,-7.5,8441
-153.5,-7.5,8441
-152.5,-7.5,8441
-151.5,-7.5,8441
-150.5,-7.5,8441
-149.5,-7.5,8441
-148.5,-7.5,8441
-147.5,-7.5,8441
