year,mem,esm,scenario,mask,mean_annual_bio
2083,macroecological,gfdl,ssp585,8314,1.6816638708114624
2083,macroecological,gfdl,ssp585,8315,1.220565291121602
2083,macroecological,gfdl,ssp585,8316,1.6446216421714728
2083,macroecological,gfdl,ssp585,8317,3.4545916972621793
2083,macroecological,gfdl,ssp585,8318,1.9030740312076508
2083,macroecological,gfdl,ssp585,8324,1.9573962041059463
2083,macroecological,gfdl,ssp585,8325,1.643908208510915
2083,macroecological,gfdl,ssp585,8326,1.9335439624013127
2083,macroecological,gfdl,ssp585,8439,1.6927659472693568
2083,macroecological,gfdl,ssp585,8440,2.0295966197001305
2083,macroecological,gfdl,ssp585,8441,6.056610573551612
2083,macroecological,gfdl,ssp585,8444,1.3301506042480469
2083,macroecological,gfdl,ssp585,8445,1.4156426906585693
2083,macroecological,gfdl,ssp585,8446,1.6298279935313809
2083,macroecological,gfdl,ssp585,8447,1.3589157805298313
2083,macroecological,gfdl,ssp585,8448,1.6207678923240074
2083,macroecological,gfdl,ssp585,8449,1.874720953128956
2083,macroecological,gfdl,ssp585,8450,5.055335617065429
2083,macroecological,gfdl,ssp585,8454,1.4990632647559756
2083,macroecological,gfdl,ssp585,8488,4.250169959821199
2083,macroecological,gfdl,ssp585,9999,1.9678826928138733
2083,macroecological,gfdl,ssp585,48957,1.2274766981601715
2083,macroecological,gfdl,ssp585,48980,1.3756086304783821
2084,macroecological,gfdl,ssp585,8312,2.0881311378479004
2084,macroecological,gfdl,ssp585,8313,1.6406793160872026
2084,macroecological,gfdl,ssp585,8314,1.5510133423772798
2084,macroecological,gfdl,ssp585,8315,1.2298578098416328
2084,macroecological,gfdl,ssp585,8316,1.5516504032024439
2084,macroecological,gfdl,ssp585,8317,3.018219809378347
2084,macroecological,gfdl,ssp585,8318,1.8333012146108292
2084,macroecological,gfdl,ssp585,8324,1.752463879204598
2084,macroecological,gfdl,ssp585,8325,1.6633061356231815
2084,macroecological,gfdl,ssp585,8326,1.7663394261050869
2084,macroecological,gfdl,ssp585,8439,1.8039608260859614
2084,macroecological,gfdl,ssp585,8440,1.9942203734004706
2084,macroecological,gfdl,ssp585,8441,5.186428501934349
2084,macroecological,gfdl,ssp585,8444,1.5353571421959822
2084,macroecological,gfdl,ssp585,8445,1.519237232208252
2084,macroecological,gfdl,ssp585,8446,1.6438048501168527
2084,macroecological,gfdl,ssp585,8447,1.5531372662746545
2084,macroecological,gfdl,ssp585,8448,1.6310945951021634
2084,macroecological,gfdl,ssp585,8449,1.7704613164619163
2084,macroecological,gfdl,ssp585,8450,4.429080279668172
2084,macroecological,gfdl,ssp585,8454,1.4351999646141416
2084,macroecological,gfdl,ssp585,8488,3.792209547444394
2084,macroecological,gfdl,ssp585,9999,1.8927031930755167
2084,macroecological,gfdl,ssp585,48957,1.2189279675483704
2084,macroecological,gfdl,ssp585,48980,1.425962571799755
2085,macroecological,gfdl,ssp585,8312,1.9949049139022828
2085,macroecological,gfdl,ssp585,8313,1.530625664104115
2085,macroecological,gfdl,ssp585,8314,1.4529339164292732
2085,macroecological,gfdl,ssp585,8315,1.3470806237310171
2085,macroecological,gfdl,ssp585,8316,1.3110657809437185
2085,macroecological,gfdl,ssp585,8317,2.0596606769869403
2085,macroecological,gfdl,ssp585,8318,1.5227652622416694
2085,macroecological,gfdl,ssp585,8324,1.630035917047693
2085,macroecological,gfdl,ssp585,8325,1.639876094020781
2085,macroecological,gfdl,ssp585,8326,1.6134856472144257
2085,macroecological,gfdl,ssp585,8439,1.8677840984385947
2085,macroecological,gfdl,ssp585,8440,1.9682908792767608
2085,macroecological,gfdl,ssp585,8441,4.104125510432763
2085,macroecological,gfdl,ssp585,8444,1.498540594297297
2085,macroecological,gfdl,ssp585,8445,1.4785022020339966
2085,macroecological,gfdl,ssp585,8446,1.5974022130812369
2085,macroecological,gfdl,ssp585,8447,1.4805525649677624
2085,macroecological,gfdl,ssp585,8448,1.7695014641835138
2085,macroecological,gfdl,ssp585,8449,1.6484698542842158
2085,macroecological,gfdl,ssp585,8450,3.6504030561447145
2085,macroecological,gfdl,ssp585,8454,1.4135804914292835
2085,macroecological,gfdl,ssp585,8488,2.6896584749221804
2085,macroecological,gfdl,ssp585,9999,1.8368630467676648
2085,macroecological,gfdl,ssp585,48957,1.1892334997653962
2085,macroecological,gfdl,ssp585,48980,1.3151137679815292
2086,macroecological,gfdl,ssp585,8312,2.0318104190826416
2086,macroecological,gfdl,ssp585,8313,1.49944607778029
2086,macroecological,gfdl,ssp585,8314,1.4740995914757657
2086,macroecological,gfdl,ssp585,8315,1.4827403537929058
2086,macroecological,gfdl,ssp585,8316,1.2446700403655784
2086,macroecological,gfdl,ssp585,8317,2.0149494601834204
2086,macroecological,gfdl,ssp585,8318,1.4057249780644707
2086,macroecological,gfdl,ssp585,8324,1.5800091443943376
2086,macroecological,gfdl,ssp585,8325,1.6656548849871902
2086,macroecological,gfdl,ssp585,8326,1.5350584001154512
2086,macroecological,gfdl,ssp585,8439,1.8215651913829471
2086,macroecological,gfdl,ssp585,8440,1.8873558041819354
2086,macroecological,gfdl,ssp585,8441,4.211767761293285
2086,macroecological,gfdl,ssp585,8444,1.344574230558732
2086,macroecological,gfdl,ssp585,8445,1.2876695036888124
2086,macroecological,gfdl,ssp585,8446,1.5012642683521393
2086,macroecological,gfdl,ssp585,8447,1.4823752930670073
2086,macroecological,gfdl,ssp585,8448,1.678456218426044
2086,macroecological,gfdl,ssp585,8449,1.5040377687524866
2086,macroecological,gfdl,ssp585,8450,3.4610940996805826
2086,macroecological,gfdl,ssp585,8454,1.2749949636913482
2086,macroecological,gfdl,ssp585,8488,2.632815668457433
2086,macroecological,gfdl,ssp585,9999,1.836297360121035
2086,macroecological,gfdl,ssp585,48957,1.2029175162315369
2086,macroecological,gfdl,ssp585,48980,1.5559376671910286
2087,macroecological,gfdl,ssp585,8312,2.095744535446167
2087,macroecological,gfdl,ssp585,8313,1.5022947506471114
2087,macroecological,gfdl,ssp585,8314,1.4762942993721995
2087,macroecological,gfdl,ssp585,8315,1.202091496437788
2087,macroecological,gfdl,ssp585,8316,1.4551882959794307
2087,macroecological,gfdl,ssp585,8317,3.0420190365083757
2087,macroecological,gfdl,ssp585,8318,1.6070689071308484
2087,macroecological,gfdl,ssp585,8324,1.7312420437566372
2087,macroecological,gfdl,ssp585,8325,1.5006153974376741
2087,macroecological,gfdl,ssp585,8326,1.757075464403307
2087,macroecological,gfdl,ssp585,8439,1.6961378934590712
2087,macroecological,gfdl,ssp585,8440,1.9455199016813647
2087,macroecological,gfdl,ssp585,8441,5.668958777439094
2087,macroecological,gfdl,ssp585,8444,1.3478757774128634
2087,macroecological,gfdl,ssp585,8445,1.3399916768074036
2087,macroecological,gfdl,ssp585,8446,1.5993204866686175
2087,macroecological,gfdl,ssp585,8447,1.3094669977823894
2087,macroecological,gfdl,ssp585,8448,1.4595343589782714
2087,macroecological,gfdl,ssp585,8449,1.8177004743505407
2087,macroecological,gfdl,ssp585,8450,4.394991124471029
2087,macroecological,gfdl,ssp585,8454,1.34169678460984
2087,macroecological,gfdl,ssp585,8488,3.919588415246261
2087,macroecological,gfdl,ssp585,9999,1.8637644391433865
2087,macroecological,gfdl,ssp585,48957,1.092116755247116
2087,macroecological,gfdl,ssp585,48980,1.3423755168914795
2088,macroecological,gfdl,ssp585,8312,2.087000205039978
2088,macroecological,gfdl,ssp585,8313,1.5777869961478492
2088,macroecological,gfdl,ssp585,8314,1.734496526977643
2088,macroecological,gfdl,ssp585,8315,1.5129282251000404
2088,macroecological,gfdl,ssp585,8316,1.7866169624570487
2088,macroecological,gfdl,ssp585,8317,3.176705083539409
2088,macroecological,gfdl,ssp585,8318,1.9257382109840924
2088,macroecological,gfdl,ssp585,8324,2.118790043251855
2088,macroecological,gfdl,ssp585,8325,1.5298972970149556
2088,macroecological,gfdl,ssp585,8326,2.079531603568309
2088,macroecological,gfdl,ssp585,8439,1.7985537531583204
2088,macroecological,gfdl,ssp585,8440,2.0541159340686965
2088,macroecological,gfdl,ssp585,8441,3.936705759899345
2088,macroecological,gfdl,ssp585,8444,1.4026452197748072
2088,macroecological,gfdl,ssp585,8445,1.4095242142677307
2088,macroecological,gfdl,ssp585,8446,1.623315114487884
2088,macroecological,gfdl,ssp585,8447,1.4287642999128862
2088,macroecological,gfdl,ssp585,8448,1.5902485058857845
2088,macroecological,gfdl,ssp585,8449,1.8872162633472018
2088,macroecological,gfdl,ssp585,8450,3.3310358333587646
2088,macroecological,gfdl,ssp585,8454,1.4464468445096696
2088,macroecological,gfdl,ssp585,8488,3.4736349934025816
2088,macroecological,gfdl,ssp585,9999,1.8660647997669144
2088,macroecological,gfdl,ssp585,48957,1.3619194328784943
2088,macroecological,gfdl,ssp585,48980,1.440398395061493
2089,macroecological,gfdl,ssp585,8312,1.870508550643921
2089,macroecological,gfdl,ssp585,8313,1.4089602773839778
2089,macroecological,gfdl,ssp585,8314,1.554542149005293
2089,macroecological,gfdl,ssp585,8315,1.2693049646914005
2089,macroecological,gfdl,ssp585,8316,1.7197085182735885
2089,macroecological,gfdl,ssp585,8317,3.254902074413915
2089,macroecological,gfdl,ssp585,8318,1.8983269553770994
2089,macroecological,gfdl,ssp585,8324,1.726320082775685
2089,macroecological,gfdl,ssp585,8325,1.4285281525283564
2089,macroecological,gfdl,ssp585,8326,1.9283802573745314
2089,macroecological,gfdl,ssp585,8439,1.6014883090620455
2089,macroecological,gfdl,ssp585,8440,1.7963083341979145
2089,macroecological,gfdl,ssp585,8441,5.365822705680025
2089,macroecological,gfdl,ssp585,8444,1.3175330863279455
2089,macroecological,gfdl,ssp585,8445,1.2930920481681825
2089,macroecological,gfdl,ssp585,8446,1.5953379119596174
2089,macroecological,gfdl,ssp585,8447,1.3405842600446758
2089,macroecological,gfdl,ssp585,8448,1.4865683170465323
2089,macroecological,gfdl,ssp585,8449,2.132831242349413
2089,macroecological,gfdl,ssp585,8450,4.560143938064575
2089,macroecological,gfdl,ssp585,8454,1.423286960238502
2089,macroecological,gfdl,ssp585,8488,4.390706199093869
2089,macroecological,gfdl,ssp585,9999,2.1652332520952413
2089,macroecological,gfdl,ssp585,48957,1.1702566385269164
2089,macroecological,gfdl,ssp585,48980,1.3003542721271515
2090,macroecological,gfdl,ssp585,8312,1.838219264984131
2090,macroecological,gfdl,ssp585,8313,1.3144726731560448
2090,macroecological,gfdl,ssp585,8314,1.4803840489614577
2090,macroecological,gfdl,ssp585,8315,1.2746749240905046
2090,macroecological,gfdl,ssp585,8316,1.6668199248935864
2090,macroecological,gfdl,ssp585,8317,3.892781042283581
2090,macroecological,gfdl,ssp585,8318,1.8800799833899513
2090,macroecological,gfdl,ssp585,8324,1.9401534262324582
2090,macroecological,gfdl,ssp585,8325,1.3851932912576395
2090,macroecological,gfdl,ssp585,8326,1.9978857845873446
2090,macroecological,gfdl,ssp585,8439,1.73799980075463
2090,macroecological,gfdl,ssp585,8440,2.044688663723176
2090,macroecological,gfdl,ssp585,8441,6.583831248883002
2090,macroecological,gfdl,ssp585,8444,1.3102892076267916
2090,macroecological,gfdl,ssp585,8445,1.3022091031074523
2090,macroecological,gfdl,ssp585,8446,1.7340895751471161
2090,macroecological,gfdl,ssp585,8447,1.4147634867465857
2090,macroecological,gfdl,ssp585,8448,1.5311718922394972
2090,macroecological,gfdl,ssp585,8449,2.0220929384231567
2090,macroecological,gfdl,ssp585,8450,5.592988945643107
2090,macroecological,gfdl,ssp585,8454,1.3058938015074957
2090,macroecological,gfdl,ssp585,8488,4.927446184660259
2090,macroecological,gfdl,ssp585,9999,1.7830008034612619
2090,macroecological,gfdl,ssp585,48957,1.1998073697090148
2090,macroecological,gfdl,ssp585,48980,1.3025312379002572
2091,macroecological,gfdl,ssp585,8312,1.7355967445373535
2091,macroecological,gfdl,ssp585,8313,1.358624844117598
2091,macroecological,gfdl,ssp585,8314,1.551934949394797
2091,macroecological,gfdl,ssp585,8315,1.3488695695996284
2091,macroecological,gfdl,ssp585,8316,1.513309081395467
2091,macroecological,gfdl,ssp585,8317,2.8503064032523864
2091,macroecological,gfdl,ssp585,8318,1.6407276615102024
2091,macroecological,gfdl,ssp585,8324,1.6961225542952032
2091,macroecological,gfdl,ssp585,8325,1.402764135696849
2091,macroecological,gfdl,ssp585,8326,1.8374909307505634
2091,macroecological,gfdl,ssp585,8439,1.6915361220421998
2091,macroecological,gfdl,ssp585,8440,1.9742611581296252
2091,macroecological,gfdl,ssp585,8441,4.874540384658083
2091,macroecological,gfdl,ssp585,8444,1.3407815624685848
2091,macroecological,gfdl,ssp585,8445,1.2919517278671264
2091,macroecological,gfdl,ssp585,8446,1.700443544054544
2091,macroecological,gfdl,ssp585,8447,1.409551916700421
2091,macroecological,gfdl,ssp585,8448,1.4435592046150794
2091,macroecological,gfdl,ssp585,8449,1.8740041653315227
2091,macroecological,gfdl,ssp585,8450,4.171465441385905
2091,macroecological,gfdl,ssp585,8454,1.3258398260389055
2091,macroecological,gfdl,ssp585,8488,3.719819116592407
2091,macroecological,gfdl,ssp585,9999,1.67346675547899
2091,macroecological,gfdl,ssp585,48957,1.2533755004405975
2091,macroecological,gfdl,ssp585,48980,1.5052477553486825
2092,macroecological,gfdl,ssp585,8312,1.7598020420074463
2092,macroecological,gfdl,ssp585,8313,1.4090601487593217
