year,mask,name,min_historical,min_ssp126,min_ssp245,min_ssp585,mean_historical,mean_ssp126,mean_ssp245,mean_ssp585,median_historical,median_ssp126,median_ssp245,median_ssp585,sd_historical,sd_ssp126,sd_ssp245,sd_ssp585,max_historical,max_ssp126,max_ssp245,max_ssp585
2072,8445,Samoa,NA,0.26540674567222594,0.22953332886099814,0.19365991204977032,NA,2.5370452928543092,2.398722335770726,2.2603993786871435,NA,1.569299304485321,1.4761428773403167,1.3829864501953124,NA,2.106694596210502,2.0327829227228755,1.9637564322298862,NA,5.623297929763794,5.336357831954956,5.06739912033081
2073,8445,Samoa,NA,0.21604348868131637,0.19531000927090644,0.17457652986049652,NA,2.760456852763891,2.3724263840168716,1.9843959152698516,NA,1.7911784410476685,1.5504011541604996,1.3096238672733307,NA,2.337151882226605,1.9453488333728934,1.7089350916836734,NA,6.784952688217163,5.263739585876465,5.030756568908691
2074,8445,Samoa,NA,0.236843504011631,0.2090906798839569,0.1813378557562828,NA,2.7135762925446034,2.3734062960743905,2.0332362996041775,NA,1.7199980139732363,1.5288887709379195,1.3377795279026032,NA,2.2239476162328757,1.94880640902969,1.744723335908727,NA,5.832061433792115,5.449147272109985,5.118373727798462
2075,8445,Samoa,NA,0.2859472751617432,0.25256626307964325,0.21918525099754335,NA,2.8188268971443176,2.449031566828489,2.079236236512661,NA,1.7233438074588776,1.5370867609977723,1.3743132531642914,NA,2.338822728969826,1.9870925357241163,1.742122856835334,NA,6.605119228363037,5.447380018234253,5.200015211105347
2076,8445,Samoa,NA,0.31033318638801577,0.2701477944850922,0.22996240258216857,NA,2.8030539101362226,2.5657901690900324,2.3285264280438422,NA,1.701826459169388,1.5703967690467835,1.438967078924179,NA,2.338822954206676,2.1488931703429124,1.9627675009551608,NA,6.549902820587159,5.898525929450988,5.247149038314819
2077,8445,Samoa,NA,0.2751446574926376,0.25798611491918566,0.24082757234573365,NA,2.7852613690495494,2.483911136686802,2.182560904324055,NA,1.951651132106781,1.6272518187761307,1.31751464009285,NA,2.170987307486701,1.9869703898519202,1.8595844631074525,NA,5.760543251037598,5.374550843238831,5.172176933288574
2078,8445,Samoa,NA,0.25717606097459794,0.2494767487049103,0.24177743643522265,NA,2.8466917802393437,2.5421457490324975,2.2375997178256513,NA,1.9582953989505767,1.6333666056394578,1.3143061816692354,NA,2.308353302847095,2.0973895366943474,1.9227401905638204,NA,6.261635875701904,5.548939096927643,5.112240314483643
2079,8445,Samoa,NA,0.21770089715719224,0.22827352210879326,0.23884614706039428,NA,2.5569196878373623,2.4330471221357586,2.3091745564341544,NA,1.7134711563587188,1.5468185544013977,1.3801659524440766,NA,2.094006078128983,2.0195925757586206,1.950012029529435,NA,5.532577657699585,5.211523652076721,5.092373943328857
2080,8445,Samoa,NA,0.24440627545118332,0.22473406717181205,0.2050618588924408,NA,2.662345659583807,2.4737205509096385,2.28509544223547,NA,1.775621545314789,1.565453052520752,1.355284559726715,NA,2.1597081807385066,2.0629563084999396,1.978452302114074,NA,5.661827087402344,5.4236832618713375,5.185539436340332
2081,8445,Samoa,NA,0.23411043584346772,0.23996785581111907,0.24582527577877045,NA,2.8112192139029504,2.5865419141948225,2.3618646144866946,NA,1.8609853506088256,1.6424194365739821,1.4238535225391389,NA,2.3310120700325374,2.158775089356194,1.9989633946621592,NA,6.480401086807251,5.93165876865387,5.382916450500488
2082,8445,Samoa,NA,0.23447277992963791,0.2267278991639614,0.2189830183982849,NA,3.0415278516709803,2.683083558753133,2.3246392658352852,NA,2.005261480808258,1.7343506067991257,1.4634397327899933,NA,2.609354375625908,2.2805686575022226,1.9784470842839856,NA,7.856182670593261,6.61876196861267,5.38134126663208
2083,8445,Samoa,NA,0.22951172739267348,0.22343267500400543,0.21735362261533736,NA,2.5399359430372717,2.303405051231384,2.066874159425497,NA,1.5922126770019531,1.469064199924469,1.3594797790050506,NA,2.1737642515862445,1.9129224598361287,1.7290481635143329,NA,5.706935691833496,5.372046566009521,5.07683916091919
2084,8445,Samoa,NA,0.20095698088407515,0.23432211950421333,0.2676872581243515,NA,2.8783108340203762,2.486949855312705,2.095588876605034,NA,1.8439300954341888,1.6209831804037094,1.39803626537323,NA,2.55330699927229,2.019981711159163,1.7054395449006137,NA,7.87576208114624,5.329059815406799,5.160869693756103
2085,8445,Samoa,NA,0.18754802942276,0.2543318882584572,0.32111574709415436,NA,3.0954584980010984,2.6415447703003885,2.187631042599678,NA,2.0084450423717497,1.6874336272478103,1.370723682641983,NA,2.795575439748708,2.24016135118977,1.8018880712219123,NA,8.717236280441284,6.650143587589264,5.247901582717896
2086,8445,Samoa,NA,0.2510808289051056,0.24967418238520622,0.2482675358653069,NA,3.0308771657943727,2.503595718070865,1.9763142703473568,NA,2.0469126880168913,1.645964688062668,1.2657506585121157,NA,2.550645551514687,2.008523789236787,1.6713760394285737,NA,7.732510328292847,5.297873365879059,5.087856960296631
2087,8445,Samoa,NA,0.30968177020549775,0.28382924422621725,0.2579767182469368,NA,2.6962073317170145,2.338750143274665,1.9812929548323155,NA,1.909456503391266,1.5844375580549241,1.2594186127185822,NA,2.0738241685554577,1.8451388528019643,1.6729987622494882,NA,5.767406606674195,5.2354875087738035,5.0588295459747314
2088,8445,Samoa,NA,0.26910177171230315,0.26379781365394595,0.2584938555955887,NA,2.8833479794859884,2.527415664345026,2.1714833492040633,NA,1.9381017446517947,1.6152624458074571,1.2924231469631196,NA,2.350517608779707,2.0846162542513857,1.860574419261028,NA,6.680710411071777,5.669650340080262,4.978504991531372
2089,8445,Samoa,NA,0.22028979957103728,0.2188700899481773,0.21745038032531736,NA,2.6209446659684184,2.2643767839670184,1.9078089019656181,NA,1.8040984928607942,1.5181644380092623,1.2486490845680236,NA,2.1281493759030643,1.829688979419562,1.6288263964293266,NA,5.774623060226441,5.166072988510132,5.021789932250977
2090,8445,Samoa,NA,0.2066265046596527,0.22859423905611037,0.25056197345256803,NA,2.558568964600563,2.2723737588524817,1.9861785531044007,NA,1.6470748960971833,1.4305100709199907,1.2387198507785797,NA,2.168107763133677,1.9012404892496406,1.6893456631889003,NA,5.704959440231323,5.177078676223755,4.994178533554077
2091,8445,Samoa,NA,0.24659152179956437,0.24452754855155945,0.24246357530355453,NA,2.7021317441761497,2.3045484559237956,1.906965167671442,NA,1.7251225590705872,1.4661329686641693,1.2071433782577514,NA,2.2358535290869774,1.8825575201924065,1.6275406236880756,NA,6.059579682350159,5.132299327850342,4.882952117919922
2092,8445,Samoa,NA,0.30137987434864044,0.23916490599513054,0.17694993764162065,NA,2.915374731719494,2.3898749338835477,1.8643751360476015,NA,1.8584351241588593,1.517503672838211,1.1765722215175627,NA,2.445822101826061,1.9710617373590031,1.6209718395316282,NA,7.004793167114258,5.27026047706604,4.720771408081054
2093,8445,Samoa,NA,0.2905483305454254,0.24324525371193884,0.1959421768784523,NA,2.9046265262365343,2.5402664909511805,2.1759064556658267,NA,1.9326431214809419,1.6450190275907517,1.3573949337005615,NA,2.334645367315723,2.0813502347072768,1.8540433388339508,NA,6.499957895278931,5.748487567901611,4.997017240524292
2094,8445,Samoa,NA,0.24759995490312575,0.21348083689808844,0.17936171889305114,NA,3.010851369053125,2.584659765288234,2.1584681615233423,NA,1.9594926953315734,1.6479863226413727,1.344197005033493,NA,2.5530295264687797,2.156656353709167,1.8049941285903892,NA,7.6413978099822994,6.0915011882781975,4.8023687362670895
2095,8445,Samoa,NA,0.22581082433462143,0.22911083921790124,0.23241085410118104,NA,3.3801603196561336,2.8307097294181585,2.2812591391801833,NA,2.1263234198093413,1.750908836722374,1.3838934898376465,NA,3.309230158741741,2.565601962729439,1.944063752603466,NA,10.9380708694458,8.085832691192627,5.233594512939453
2096,8445,Samoa,NA,0.25100004523992536,0.24393505305051802,0.23687006086111068,NA,3.327089427560568,2.634318012446165,1.9415465973317623,NA,2.3727980613708497,1.8547262430191038,1.3366544246673584,NA,2.852079494952069,2.0682744355389358,1.570945405801686,NA,8.758847951889038,5.559496879577637,4.895298480987549
2097,8445,Samoa,NA,0.24744453877210615,0.24525954946875572,0.24307456016540527,NA,2.936744522303343,2.4090514766424898,1.881358430981636,NA,2.0366786897182463,1.601933342218399,1.1967646121978759,NA,2.3985960755882454,1.9456391221056495,1.661393362463526,NA,6.743050527572632,5.373741936683655,4.940956020355225
2098,8445,Samoa,NA,0.3011361986398697,0.27111184448003767,0.24108749032020568,NA,2.755256372988224,2.3038515566289424,1.852446740269661,NA,1.7834329187870024,1.4614428967237472,1.25133016705513,NA,2.22999818551259,1.8949879407887773,1.6967462887473506,NA,5.892497158050537,5.395900678634643,5.038745975494384
