Lon,Lat,mask
161,-19,8312
163,-19,8312
165,-19,8312
167,-19,8312
169,-19,8313
171,-19,8313
173,-19,8313
175,-19,8325
177,-19,8325
179,-19,8325
-179,-21,8325
-177,-21,8448
-175,-21,8448
-173,-21,8448
-171,-21,8447
-169,-21,8447
-167,-21,8447
-165,-21,8446
-163,-21,8446
-161,-21,8446
-159,-21,8446
-157,-21,8446
-155,-21,8440
-153,-21,8440
-151,-21,8440
-149,-21,8440
-147,-21,8440
-145,-21,8440
-143,-21,8440
-141,-21,8440
-139,-21,8440
-137,-21,8440
-135,-21,8440
-133,-21,8440
-131,-21,8439
-129,-21,8439
-127,-21,8439
-125,-21,8439
-123,-21,8439
149,-21,9999
151,-21,9999
153,-21,9999
157,-21,8312
159,-21,8312
161,-21,8312
163,-21,8312
165,-21,8312
167,-21,8312
169,-21,8312
171,-21,8313
173,-21,8325
175,-21,8325
177,-21,8325
179,-21,8325
-179,-23,8325
-177,-23,8448
-175,-23,8448
-173,-23,8448
-171,-23,8447
-169,-23,8447
-167,-23,8447
-163,-23,8446
-161,-23,8446
-159,-23,8446
-157,-23,8446
-155,-23,8440
-153,-23,8440
-151,-23,8440
-149,-23,8440
-147,-23,8440
-145,-23,8440
-143,-23,8440
-141,-23,8440
-139,-23,8440
-137,-23,8440
-135,-23,8440
-133,-23,8440
-131,-23,8439
-129,-23,8439
-127,-23,8439
-125,-23,8439
-123,-23,8439
-121,-23,8439
149,-23,9999
151,-23,9999
153,-23,9999
157,-23,8312
159,-23,8312
161,-23,8312
163,-23,8312
165,-23,8312
167,-23,8312
169,-23,8312
171,-23,8312
173,-23,8325
175,-23,8325
177,-23,8325
179,-23,8325
-179,-25,8448
-177,-25,8448
-175,-25,8448
-173,-25,8448
-161,-25,8446
-159,-25,8446
-157,-25,8446
-155,-25,8440
-153,-25,8440
-151,-25,8440
-149,-25,8440
-147,-25,8440
-145,-25,8440
-143,-25,8440
-141,-25,8440
-139,-25,8440
-137,-25,8440
-135,-25,8440
-133,-25,8440
-131,-25,8439
-129,-25,8439
-127,-25,8439
-125,-25,8439
-123,-25,8439
-121,-25,8439
151,-25,9999
153,-25,9999
155,-25,9999
159,-25,8312
161,-25,8312
163,-25,8312
165,-25,8312
167,-25,8312
169,-25,8312
171,-25,8312
173,-25,8325
175,-25,8325
177,-25,8325
179,-25,8325
-153,-27,8440
-151,-27,8440
-149,-27,8440
-147,-27,8440
-145,-27,8440
-143,-27,8440
-141,-27,8440
-139,-27,8440
-137,-27,8440
-135,-27,8440
-133,-27,8439
-131,-27,8439
-129,-27,8439
-127,-27,8439
-125,-27,8439
-123,-27,8439
-121,-27,8439
165,-27,8312
167,-27,8312
-149,-29,8440
-147,-29,8440
-145,-29,8440
-143,-29,8440
-141,-29,8440
-139,-29,8440
-131,-29,8439
-129,-29,8439
-125,-29,8439
-147,-31,8440
-145,-31,8440
-143,-31,8440
-141,-31,8440
